,uri,name,description,publisher,publication_date,last_updated_date,exact_match,close_match,broad_match,narrow_match,from_shared_resource_instance,status
0,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.relativehumidity,RelativeHumidity,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-03-28 10:36:41.258073+01:00,,[],[],[],[],,already_existed
1,http://purl.obolibrary.org/obo/PATO_0000146,Temperature,,,,,[],[],[],[],,already_existed
2,http://purl.obolibrary.org/obo/PATO_0000146,Temperature,,,,,[],[],[],[],,already_existed
3,field:id/variable/characteristic.rainfall_cumulation,rainfallCumulation,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.096214+02:00,,[],[],[],[],,already_existed
4,field:id/variable/characteristic.voltage,voltage,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.294475+02:00,,[],[],[],[],,already_existed
5,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
6,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
7,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
8,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
9,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
10,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
11,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
12,https://emphasis.plant-phenotyping.eu/id/variable/characteristic.water_content,waterContent,,"{'uri': 'opensilex-sandbox:id/user/admin.admin', 'email': 'admin@opensilex.org', 'language': 'en', 'admin': True, 'first_name': 'admin', 'last_name': 'admin', 'linked_person': 'opensilex-sandbox:id/user/admin.admin/Person', 'enable': True, 'favorites': None}",2025-06-10 18:57:32.466720+02:00,,[],[],[],[],,already_existed
